iter	Logloss
0	0.5924889752
1	0.5159116935
2	0.459097112
3	0.4123048845
4	0.3791459791
5	0.3522112342
6	0.332003959
7	0.3156283339
8	0.3028833312
9	0.2940415094
10	0.2863750823
11	0.2804687834
12	0.2747909509
13	0.2707258908
14	0.2672214784
15	0.2643948456
16	0.262220443
17	0.2607271585
18	0.2591694063
19	0.2577336688
20	0.2565973975
21	0.2557454803
22	0.2548764521
23	0.2541440098
24	0.2533457582
25	0.2526615533
26	0.2521071627
27	0.2515479624
28	0.2511927796
29	0.250788174
30	0.2504672691
31	0.2501578368
32	0.2498205459
33	0.249587914
34	0.2493448809
35	0.2491570253
36	0.2488820279
37	0.2486893573
38	0.2484067375
39	0.2481448804
40	0.2479798465
41	0.2477492775
42	0.2476011969
43	0.2474180781
44	0.2471938611
45	0.2470241193
46	0.2468429736
47	0.2466335779
48	0.2464977182
49	0.2463830491
50	0.2461979082
51	0.2460500382
52	0.245915501
53	0.2457977657
54	0.2456645359
55	0.2455537212
56	0.2454423624
57	0.2453505638
58	0.2452271121
59	0.2451046127
60	0.2449709612
61	0.2448550267
62	0.2447632205
63	0.244653229
64	0.2445299336
65	0.2444006144
66	0.2443222287
67	0.2442321401
68	0.2441355454
69	0.2440512546
70	0.2439730088
71	0.2438537001
72	0.2437427157
73	0.2436711935
74	0.2435823046
75	0.2434889979
76	0.2434019071
77	0.2433273804
78	0.2432554104
79	0.2431642253
80	0.2430666272
81	0.2429975839
82	0.2429335309
83	0.242866073
84	0.2427741416
85	0.2427165689
86	0.2426414976
87	0.2425514489
88	0.2424416423
89	0.2423907079
90	0.242327739
91	0.2422304083
92	0.2421500245
93	0.2420818171
94	0.2420075439
95	0.2419432986
96	0.2418826972
97	0.2418203721
98	0.2417499247
99	0.2416909244
100	0.2416187249
101	0.2415617604
102	0.2414776882
103	0.2413917755
104	0.2413394986
105	0.2412552955
106	0.2411541872
107	0.2410940641
108	0.2410102097
109	0.2409522417
110	0.2408983091
111	0.2408367808
112	0.2407431408
113	0.2406738471
114	0.2405852546
115	0.2405187332
116	0.2404480278
117	0.2403579544
118	0.2402752428
119	0.2402233389
120	0.2401552164
121	0.2400864837
122	0.2400358557
123	0.2399619964
124	0.2399201925
125	0.2398387011
126	0.2397680566
127	0.2397029924
128	0.2396584483
129	0.2395848543
130	0.2395330539
131	0.2394737878
132	0.2393875179
133	0.2393353506
134	0.2392685619
135	0.2392250934
136	0.239161563
137	0.2391125976
138	0.2390690435
139	0.2389771029
140	0.2389277239
141	0.2388825006
142	0.2388287317
143	0.2387408305
144	0.2386801052
145	0.2386164214
146	0.2385598243
147	0.2385151055
148	0.2384670956
149	0.2383997318
150	0.2383264208
151	0.238276129
152	0.2382231549
153	0.2381626601
154	0.2381094005
155	0.2380322232
156	0.2379811168
157	0.2379428211
158	0.2379006969
159	0.2378210152
160	0.2377664727
161	0.2376911398
162	0.2376423597
163	0.2375863142
164	0.2375410325
165	0.2374766758
166	0.2373802128
167	0.2373159731
168	0.237247764
169	0.2371931536
170	0.237153929
171	0.2370990229
172	0.2370472799
173	0.2370117196
174	0.2369538925
175	0.2368950254
176	0.2368482609
177	0.2367898686
178	0.2367413488
179	0.2366845612
180	0.2366304791
181	0.2365875299
182	0.2365280719
183	0.2364888593
184	0.2364513164
185	0.2364096228
186	0.2363470231
187	0.2362897318
188	0.2362314467
189	0.2361854051
190	0.2361504849
191	0.2360889067
192	0.2360169323
193	0.2359782756
194	0.2359496073
195	0.2358792904
196	0.2358378886
197	0.2357838425
198	0.2357248771
199	0.2356833645
200	0.2356118023
201	0.2355533455
202	0.2355110478
203	0.2354655511
204	0.2354330093
205	0.2353824787
206	0.235354784
207	0.2352910272
208	0.2352577886
209	0.2352287743
210	0.2351907366
211	0.2351271021
212	0.2350852695
213	0.2350273067
214	0.2349769702
215	0.2349234529
216	0.2348763686
217	0.2348623474
218	0.2348102378
219	0.2347405373
220	0.2346865154
221	0.2346319129
222	0.2345820516
223	0.2345386222
224	0.2344894722
225	0.2344370022
226	0.234387549
227	0.2343522124
228	0.2343054237
229	0.2342429008
230	0.2341749697
231	0.2341256574
232	0.2340999845
233	0.234056389
234	0.2340065086
235	0.23398249
236	0.2339463252
237	0.2338924542
238	0.2338484182
239	0.2338192864
240	0.2337633709
241	0.233706915
242	0.233660014
243	0.2336229504
244	0.2335825553
245	0.2335430919
246	0.2335052982
247	0.2334594808
248	0.2334063785
249	0.2333676263
250	0.2333368616
251	0.2333281614
252	0.2332786445
253	0.2332102442
254	0.2331618631
255	0.2331101146
256	0.2330658313
257	0.2330245192
258	0.2330021966
259	0.2329813394
260	0.232932884
261	0.2328880194
262	0.232865258
263	0.2328565551
264	0.2328177184
265	0.2327790435
266	0.2327484185
267	0.2327076841
268	0.2326731808
269	0.2326171138
270	0.2325795101
271	0.2325522529
272	0.2324956341
273	0.2324372994
274	0.2323945329
275	0.2323441241
276	0.2322911374
277	0.2322482877
278	0.2322140988
279	0.2321972294
280	0.2321620943
281	0.2321059657
282	0.2320739777
283	0.2320221473
284	0.2319735053
285	0.2319483826
286	0.2318899599
287	0.231831949
288	0.2317849219
289	0.2317359256
290	0.2316922902
291	0.2316756441
292	0.23163647
293	0.2315920119
294	0.2315597404
295	0.2315097625
296	0.2314864266
297	0.231466944
298	0.2314206555
299	0.2313621352
300	0.2313168876
301	0.2312647143
302	0.2312031147
303	0.2311599958
304	0.2311123783
305	0.2310796668
306	0.2310451991
307	0.2309899936
308	0.230948465
309	0.2309195253
310	0.2308804235
311	0.2308301816
312	0.2308162055
313	0.2307833488
314	0.2307359782
315	0.2307023688
316	0.2306432575
317	0.2306002077
318	0.2305503418
319	0.2305128335
320	0.2304710382
321	0.2304260307
322	0.2303738488
323	0.2303259009
324	0.2302800087
325	0.2302404187
326	0.2302140983
327	0.2301655131
328	0.2301125748
329	0.2300715226
330	0.2300242501
331	0.2299726617
332	0.2299334547
333	0.2298895069
334	0.2298604784
335	0.2298177162
336	0.229772104
337	0.2297374529
338	0.229703865
339	0.229667723
340	0.2296142816
341	0.2295930122
342	0.2295458857
343	0.2295265848
344	0.2294898474
345	0.2294651786
346	0.2294216406
347	0.2293694501
348	0.2293201596
349	0.2292945035
350	0.2292623763
351	0.229233438
352	0.229191667
353	0.2291472633
354	0.2291069617
355	0.2290659514
356	0.229023753
357	0.2289889197
358	0.2289453274
359	0.2289078935
360	0.228877778
361	0.2288592311
362	0.2288442187
363	0.2287984863
364	0.2287362051
365	0.2287073266
366	0.2286641287
367	0.2286261998
368	0.2285860994
369	0.2285614527
370	0.2285191988
371	0.2284889389
372	0.228456573
373	0.2284262123
374	0.2284006385
375	0.2283527087
376	0.228329013
377	0.2282930567
378	0.2282506936
379	0.2282126486
380	0.2281688306
381	0.2281270409
382	0.2280884937
383	0.2280404316
384	0.2280169884
385	0.2279669019
386	0.2279203102
387	0.227890918
388	0.2278607402
389	0.2278170249
390	0.2277845818
391	0.2277529998
392	0.2277381273
393	0.2276961958
394	0.2276614426
395	0.2276476309
396	0.2276025736
397	0.2275668981
398	0.2275355439
399	0.2275009274
400	0.2274584107
401	0.2274283297
402	0.2274073787
403	0.2273596957
404	0.2273240707
405	0.2272883744
406	0.2272384486
407	0.2271882067
408	0.227134429
409	0.2270835111
410	0.2270368635
411	0.2269993188
412	0.2269707865
413	0.2269318441
414	0.2269033075
415	0.2268713519
416	0.2268250424
417	0.2267931793
418	0.2267578546
