iter	Passed	Remaining
0	76	38302
1	103	25894
2	122	20358
3	142	17613
4	159	15756
5	178	14657
6	195	13787
7	215	13239
8	234	12788
9	252	12396
10	271	12062
11	295	12026
12	315	11812
13	333	11580
14	353	11424
15	373	11290
16	392	11138
17	415	11128
18	435	11036
19	459	11022
20	482	11000
21	504	10961
22	525	10905
23	551	10931
24	583	11086
25	606	11053
26	627	10996
27	648	10939
28	669	10871
29	691	10831
30	712	10785
31	733	10731
32	803	11377
33	829	11369
34	851	11309
35	871	11232
36	892	11172
37	916	11136
38	938	11090
39	964	11086
40	986	11040
41	1007	10986
42	1029	10941
43	1053	10914
44	1074	10860
45	1095	10816
46	1119	10789
47	1144	10776
48	1165	10727
49	1187	10684
50	1210	10655
51	1234	10635
52	1258	10616
53	1280	10579
54	1303	10546
55	1330	10546
56	1354	10530
57	1378	10505
58	1402	10479
59	1424	10443
60	1446	10409
61	1469	10384
62	1494	10363
63	1520	10359
64	1548	10361
65	1575	10361
66	1599	10336
67	1622	10308
68	1643	10265
69	1665	10228
70	1688	10203
71	1720	10225
72	1744	10205
73	1766	10167
74	1790	10145
75	1814	10123
76	1837	10094
77	1861	10072
78	1883	10038
79	1907	10012
80	1931	9988
81	1952	9953
82	1975	9927
83	1999	9903
84	2021	9871
85	2043	9836
86	2065	9805
87	2087	9774
88	2113	9761
89	2134	9725
90	2157	9694
91	2182	9676
92	2209	9668
93	2234	9650
94	2258	9626
95	2280	9595
96	2302	9566
97	2326	9543
98	2350	9522
99	2372	9491
100	2399	9477
101	2425	9464
102	2452	9453
103	2476	9429
104	2500	9407
105	2525	9388
106	2551	9370
107	2574	9344
108	2601	9332
109	2623	9301
110	2648	9280
111	2675	9270
112	2703	9260
113	2727	9235
114	2750	9209
115	2774	9183
116	2799	9164
117	2827	9152
118	2860	9157
119	2883	9132
120	2909	9112
121	2934	9091
122	2957	9063
123	2981	9040
124	3003	9010
125	3029	8992
126	3054	8971
127	3079	8949
128	3107	8937
129	3134	8922
130	3158	8896
131	3185	8880
132	3211	8861
133	3234	8833
134	3258	8809
135	3280	8779
136	3303	8753
137	3326	8727
138	3351	8704
139	3378	8686
140	3405	8670
141	3431	8650
142	3457	8631
143	3484	8614
144	3509	8592
145	3534	8570
146	3557	8542
147	3580	8515
148	3604	8490
149	3626	8461
150	3651	8440
151	3676	8418
152	3699	8391
153	3723	8366
154	3747	8342
155	3776	8326
156	3801	8304
157	3826	8283
158	3850	8257
159	3881	8248
160	3904	8221
161	3929	8197
162	3952	8172
163	3977	8148
164	4001	8124
165	4025	8099
166	4050	8077
167	4075	8053
168	4101	8033
169	4126	8010
170	4148	7981
171	4172	7956
172	4195	7929
173	4220	7906
174	4242	7879
175	4268	7857
176	4292	7833
177	4315	7805
178	4337	7778
179	4358	7749
180	4384	7728
181	4407	7701
182	4435	7683
183	4457	7655
184	4482	7632
185	4505	7606
186	4528	7580
187	4552	7555
188	4578	7533
189	4601	7507
190	4626	7484
191	4653	7465
192	4678	7441
193	4702	7417
194	4724	7389
195	4748	7365
196	4771	7338
197	4794	7312
198	4819	7289
199	4842	7263
200	4867	7241
201	4889	7213
202	4912	7187
203	4935	7161
204	4957	7133
205	4981	7108
206	5003	7082
207	5028	7059
208	5050	7031
209	5071	7004
210	5094	6977
211	5118	6953
212	5140	6926
213	5165	6903
214	5188	6878
215	5212	6853
216	5238	6831
217	5258	6801
218	5281	6776
219	5305	6752
220	5328	6727
221	5354	6704
222	5379	6681
223	5403	6657
224	5427	6633
225	5450	6608
226	5473	6582
227	5493	6554
228	5516	6528
229	5541	6505
230	5567	6483
231	5591	6459
232	5613	6432
233	5635	6406
234	5659	6382
235	5681	6355
236	5705	6330
237	5730	6308
238	5759	6289
239	5779	6260
240	5802	6235
241	5825	6210
242	5850	6187
243	5873	6162
244	5898	6138
245	5924	6117
246	5948	6093
247	5970	6066
248	5992	6040
249	6018	6018
250	6039	5991
251	6059	5963
252	6084	5940
253	6110	5917
254	6134	5893
255	6158	5869
256	6185	5848
257	6207	5822
258	6230	5797
259	6252	5771
260	6274	5745
261	6296	5720
262	6317	5692
263	6336	5664
264	6358	5638
265	6380	5613
266	6404	5589
267	6427	5563
268	6449	5538
269	6473	5514
270	6495	5488
271	6516	5462
272	6541	5439
273	6565	5415
274	6587	5389
275	6608	5363
276	6632	5339
277	6656	5315
278	6680	5291
279	6705	5268
280	6728	5243
281	6756	5222
282	6777	5197
283	6801	5173
284	6825	5148
285	6847	5123
286	6871	5099
287	6894	5075
288	6917	5050
289	6941	5026
290	6963	5001
291	6986	4976
292	7012	4953
293	7037	4931
294	7059	4905
295	7082	4880
296	7103	4855
297	7123	4828
298	7150	4806
299	7174	4783
300	7196	4757
301	7220	4734
302	7246	4711
303	7269	4686
304	7292	4662
305	7314	4637
306	7336	4611
307	7358	4586
308	7380	4561
309	7403	4537
310	7424	4511
311	7448	4488
312	7469	4462
313	7489	4436
314	7514	4413
315	7542	4391
316	7567	4368
317	7591	4344
318	7616	4321
319	7641	4298
320	7667	4275
321	7690	4251
322	7714	4227
323	7737	4203
324	7763	4180
325	7786	4156
326	7810	4131
327	7836	4109
328	7860	4085
329	7888	4063
330	7912	4040
331	7939	4017
332	7963	3993
333	7986	3969
334	8008	3944
335	8030	3919
336	8054	3895
337	8075	3870
338	8098	3846
339	8121	3821
340	8143	3797
341	8163	3771
342	8187	3747
343	8209	3722
344	8229	3697
345	8249	3671
346	8273	3647
347	8297	3624
348	8319	3599
349	8346	3577
350	8370	3553
351	8394	3529
352	8417	3505
353	8439	3480
354	8466	3458
355	8489	3434
356	8515	3411
357	8536	3386
358	8560	3362
359	8582	3337
360	8603	3312
361	8627	3288
362	8649	3264
363	8675	3241
364	8701	3218
365	8724	3194
366	8747	3170
367	8775	3147
368	8800	3124
369	8824	3100
370	8847	3076
371	8869	3051
372	8890	3027
373	8912	3002
374	8935	2978
375	8963	2956
376	8986	2932
377	9010	2908
378	9034	2884
379	9057	2860
380	9080	2836
381	9104	2812
382	9130	2789
383	9156	2765
384	9176	2740
385	9200	2717
386	9225	2693
387	9246	2669
388	9268	2644
389	9291	2620
390	9314	2596
391	9339	2573
392	9361	2548
393	9383	2524
394	9407	2500
395	9428	2476
396	9452	2452
397	9475	2428
398	9498	2404
399	9522	2380
400	9545	2356
401	9568	2332
402	9588	2307
